period,respondent,respondent-name,fueltype,type-name,value,value-units
2019-12-31T17,ISNE,ISO New England,NUC,Nuclear,3314,megawatthours
2019-12-31T17,ISNE,ISO New England,OIL,Petroleum,0,megawatthours
2019-12-31T17,ISNE,ISO New England,OTH,Other,670,megawatthours
2019-12-31T17,ISNE,ISO New England,SUN,Solar,27,megawatthours
2019-12-31T17,ISNE,ISO New England,WAT,Hydro,1003,megawatthours
2019-12-31T17,ISNE,ISO New England,WND,Wind,489,megawatthours
2019-12-31T17,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,21282,megawatthours
2019-12-31T17,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,23017,megawatthours
2019-12-31T17,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,13347,megawatthours
2019-12-31T17,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,457,megawatthours
2019-12-31T17,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,158,megawatthours
2019-12-31T17,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,1125,megawatthours
2019-12-31T17,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,11724,megawatthours
2019-12-31T16,ISNE,ISO New England,COL,Coal,3,megawatthours
2019-12-31T16,ISNE,ISO New England,NG,Natural Gas,5792,megawatthours
2019-12-31T16,ISNE,ISO New England,NUC,Nuclear,3334,megawatthours
2019-12-31T16,ISNE,ISO New England,OIL,Petroleum,0,megawatthours
2019-12-31T16,ISNE,ISO New England,OTH,Other,678,megawatthours
2019-12-31T16,ISNE,ISO New England,SUN,Solar,27,megawatthours
2019-12-31T16,ISNE,ISO New England,WAT,Hydro,1024,megawatthours
2019-12-31T16,ISNE,ISO New England,WND,Wind,541,megawatthours
2019-12-31T16,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,20713,megawatthours
2019-12-31T16,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,23059,megawatthours
2019-12-31T16,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,13347,megawatthours
2019-12-31T16,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,452,megawatthours
2019-12-31T16,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,110,megawatthours
2019-12-31T16,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,1338,megawatthours
2019-12-31T16,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,12609,megawatthours
2019-12-31T15,ISNE,ISO New England,COL,Coal,3,megawatthours
2019-12-31T15,ISNE,ISO New England,NG,Natural Gas,5480,megawatthours
2019-12-31T15,ISNE,ISO New England,NUC,Nuclear,3331,megawatthours
2019-12-31T15,ISNE,ISO New England,OIL,Petroleum,23,megawatthours
2019-12-31T15,ISNE,ISO New England,OTH,Other,695,megawatthours
2019-12-31T15,ISNE,ISO New England,SUN,Solar,15,megawatthours
2019-12-31T15,ISNE,ISO New England,WAT,Hydro,1036,megawatthours
2019-12-31T15,ISNE,ISO New England,WND,Wind,577,megawatthours
2019-12-31T15,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,20383,megawatthours
2019-12-31T15,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,22777,megawatthours
2019-12-31T15,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,13344,megawatthours
2019-12-31T15,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,450,megawatthours
2019-12-31T15,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,51,megawatthours
