period,subba,subba-name,parent,parent-name,timezone,value,value-units
2019-12-24,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,62650,megawatthours
2019-12-24,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,62519,megawatthours
2019-12-24,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,62414,megawatthours
2019-12-24,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,62650,megawatthours
2019-12-24,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,62793,megawatthours
2019-12-24,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,226140,megawatthours
2019-12-24,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,226728,megawatthours
2019-12-24,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,227435,megawatthours
2019-12-24,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,226140,megawatthours
2019-12-24,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,225632,megawatthours
2019-12-23,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,65146,megawatthours
2019-12-23,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,65301,megawatthours
2019-12-23,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,65439,megawatthours
2019-12-23,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,65146,megawatthours
2019-12-23,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,64974,megawatthours
2019-12-23,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,244870,megawatthours
2019-12-23,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,244843,megawatthours
2019-12-23,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,244715,megawatthours
2019-12-23,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,244870,megawatthours
2019-12-23,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,244803,megawatthours
2019-12-22,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,64289,megawatthours
2019-12-22,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,64401,megawatthours
2019-12-22,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,64519,megawatthours
2019-12-22,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,64289,megawatthours
2019-12-22,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,64197,megawatthours
2019-12-22,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,228797,megawatthours
2019-12-22,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,229143,megawatthours
2019-12-22,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,229547,megawatthours
2019-12-22,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,228797,megawatthours
2019-12-22,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,228522,megawatthours
2019-12-21,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,69181,megawatthours
2019-12-21,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,69371,megawatthours
2019-12-21,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,69563,megawatthours
2019-12-21,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,69181,megawatthours
2019-12-21,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,68985,megawatthours
2019-12-21,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,241786,megawatthours
