period,respondent,respondent-name,fueltype,type-name,value,value-units,date,city,electricity_demand_mw
2019-12-31T18,ISNE,ISO New England,COL,Coal,5,megawatthours,2019-12-31,Boston,5
2019-12-31T18,ISNE,ISO New England,NG,Natural Gas,6244,megawatthours,2019-12-31,Boston,6244
2019-12-31T18,ISNE,ISO New England,NUC,Nuclear,3327,megawatthours,2019-12-31,Boston,3327
2019-12-31T18,ISNE,ISO New England,OIL,Petroleum,0,megawatthours,2019-12-31,Boston,0
2019-12-31T18,ISNE,ISO New England,OTH,Other,679,megawatthours,2019-12-31,Boston,679
2019-12-31T18,ISNE,ISO New England,SUN,Solar,19,megawatthours,2019-12-31,Boston,19
2019-12-31T18,ISNE,ISO New England,WAT,Hydro,843,megawatthours,2019-12-31,Boston,843
2019-12-31T18,ISNE,ISO New England,WND,Wind,469,megawatthours,2019-12-31,Boston,469
2019-12-31T18,PJM,"PJM Interconnection, LLC",COL,Coal,13329,megawatthours,2019-12-31,Chicago,13329
2019-12-31T18,PJM,"PJM Interconnection, LLC",NG,Natural Gas,32525,megawatthours,2019-12-31,Chicago,32525
2019-12-31T18,PJM,"PJM Interconnection, LLC",NUC,Nuclear,28838,megawatthours,2019-12-31,Chicago,28838
2019-12-31T18,PJM,"PJM Interconnection, LLC",OIL,Petroleum,220,megawatthours,2019-12-31,Chicago,220
2019-12-31T18,PJM,"PJM Interconnection, LLC",OTH,Other,722,megawatthours,2019-12-31,Chicago,722
2019-12-31T18,PJM,"PJM Interconnection, LLC",SUN,Solar,222,megawatthours,2019-12-31,Chicago,222
2019-12-31T18,PJM,"PJM Interconnection, LLC",WAT,Hydro,1253,megawatthours,2019-12-31,Chicago,1253
2019-12-31T18,PJM,"PJM Interconnection, LLC",WND,Wind,2641,megawatthours,2019-12-31,Chicago,2641
2019-12-31T17,ISNE,ISO New England,COL,Coal,4,megawatthours,2019-12-31,Boston,4
2019-12-31T17,ISNE,ISO New England,NG,Natural Gas,6031,megawatthours,2019-12-31,Boston,6031
2019-12-31T17,ISNE,ISO New England,NUC,Nuclear,3314,megawatthours,2019-12-31,Boston,3314
2019-12-31T17,ISNE,ISO New England,OIL,Petroleum,0,megawatthours,2019-12-31,Boston,0
2019-12-31T17,ISNE,ISO New England,OTH,Other,670,megawatthours,2019-12-31,Boston,670
2019-12-31T17,ISNE,ISO New England,SUN,Solar,27,megawatthours,2019-12-31,Boston,27
2019-12-31T17,ISNE,ISO New England,WAT,Hydro,1003,megawatthours,2019-12-31,Boston,1003
2019-12-31T17,ISNE,ISO New England,WND,Wind,489,megawatthours,2019-12-31,Boston,489
2019-12-31T17,PJM,"PJM Interconnection, LLC",COL,Coal,13834,megawatthours,2019-12-31,Chicago,13834
2019-12-31T17,PJM,"PJM Interconnection, LLC",NG,Natural Gas,33110,megawatthours,2019-12-31,Chicago,33110
2019-12-31T17,PJM,"PJM Interconnection, LLC",NUC,Nuclear,28855,megawatthours,2019-12-31,Chicago,28855
2019-12-31T17,PJM,"PJM Interconnection, LLC",OIL,Petroleum,241,megawatthours,2019-12-31,Chicago,241
2019-12-31T17,PJM,"PJM Interconnection, LLC",OTH,Other,707,megawatthours,2019-12-31,Chicago,707
2019-12-31T17,PJM,"PJM Interconnection, LLC",SUN,Solar,219,megawatthours,2019-12-31,Chicago,219
2019-12-31T17,PJM,"PJM Interconnection, LLC",WAT,Hydro,1172,megawatthours,2019-12-31,Chicago,1172
2019-12-31T17,PJM,"PJM Interconnection, LLC",WND,Wind,2566,megawatthours,2019-12-31,Chicago,2566
2019-12-31T16,ISNE,ISO New England,COL,Coal,3,megawatthours,2019-12-31,Boston,3
2019-12-31T16,ISNE,ISO New England,NG,Natural Gas,5792,megawatthours,2019-12-31,Boston,5792
2019-12-31T16,ISNE,ISO New England,NUC,Nuclear,3334,megawatthours,2019-12-31,Boston,3334
2019-12-31T16,ISNE,ISO New England,OIL,Petroleum,0,megawatthours,2019-12-31,Boston,0
2019-12-31T16,ISNE,ISO New England,OTH,Other,678,megawatthours,2019-12-31,Boston,678
2019-12-31T16,ISNE,ISO New England,SUN,Solar,27,megawatthours,2019-12-31,Boston,27
2019-12-31T16,ISNE,ISO New England,WAT,Hydro,1024,megawatthours,2019-12-31,Boston,1024
2019-12-31T16,ISNE,ISO New England,WND,Wind,541,megawatthours,2019-12-31,Boston,541
