date,respondent,class,total_renewable,total_mwh,pct_of_total
2020-06-22,PJM,traditional,2492573,2588316,96.3009539793441
2020-06-23,ISNE,green,16191,336560,4.810732113144759
2020-06-23,ISNE,traditional,320369,336560,95.18926788685525
2020-06-23,PJM,green,138088,2556718,5.400986733773533
2020-06-23,PJM,traditional,2418630,2556718,94.59901326622646
2020-06-24,ISNE,green,20430,341488,5.982640678442581
2020-06-24,ISNE,traditional,321058,341488,94.01735932155742
2020-06-24,PJM,green,118861,2429803,4.891795754635252
2020-06-24,PJM,traditional,2310942,2429803,95.10820424536475
2020-06-25,ISNE,green,16154,309341,5.2220688495867025
2020-06-25,ISNE,traditional,293187,309341,94.7779311504133
2020-06-25,PJM,green,88595,2398885,3.6931741204768045
2020-06-25,PJM,traditional,2310290,2398885,96.30682587952319
2020-06-26,ISNE,green,14717,302805,4.860223576228926
2020-06-26,ISNE,traditional,288088,302805,95.13977642377107
2020-06-26,PJM,green,152527,2458432,6.204239124775467
2020-06-26,PJM,traditional,2305905,2458432,93.79576087522453
2020-06-29,ISNE,green,18541,293365,6.320113169601009
2020-06-29,ISNE,traditional,274824,293365,93.679886830399
2020-06-29,PJM,green,95812,2684587,3.5689661016759753
2020-06-29,PJM,traditional,2588775,2684587,96.43103389832403
2020-06-30,ISNE,green,16847,274992,6.126360039564787
2020-06-30,ISNE,traditional,258145,274992,93.87363996043521
2020-06-30,PJM,green,91014,2642668,3.444019453067884
2020-06-30,PJM,traditional,2551654,2642668,96.55598054693212
2020-07-01,ISNE,green,16754,283295,5.913976596833689
2020-07-01,ISNE,traditional,266541,283295,94.08602340316631
2020-07-01,PJM,green,86385,2638728,3.273736436646748
2020-07-01,PJM,traditional,2552343,2638728,96.72626356335326
2020-07-02,ISNE,green,29358,318318,9.222852619079035
2020-07-02,ISNE,traditional,288960,318318,90.77714738092097
2020-07-02,PJM,green,95402,2697822,3.536259990466384
2020-07-02,PJM,traditional,2602420,2697822,96.46374000953361
2020-07-06,ISNE,green,17163,324147,5.294819942803728
2020-07-06,ISNE,traditional,306984,324147,94.70518005719627
2020-07-06,PJM,green,72174,2881231,2.5049709655352177
2020-07-06,PJM,traditional,2809057,2881231,97.49502903446479
2020-07-07,ISNE,green,18131,306817,5.909385725041312
2020-07-07,ISNE,traditional,288686,306817,94.09061427495868
2020-07-07,PJM,green,69247,2843463,2.435305119145211
2020-07-07,PJM,traditional,2774216,2843463,97.56469488085479
2020-07-08,ISNE,green,20520,335254,6.120732340255448
2020-07-08,ISNE,traditional,314734,335254,93.87926765974454
2020-07-08,PJM,green,69498,2891778,2.403296518612424
2020-07-08,PJM,traditional,2822280,2891778,97.59670348138756
2020-07-09,ISNE,green,22276,376809,5.911748392421625
2020-07-09,ISNE,traditional,354533,376809,94.08825160757837
2020-07-09,PJM,green,96442,2960064,3.258105230157186
2020-07-09,PJM,traditional,2863622,2960064,96.74189476984282
2020-07-10,ISNE,green,20063,359689,5.577874219117071
2020-07-10,ISNE,traditional,339626,359689,94.42212578088292
2020-07-10,PJM,green,140956,2810534,5.015274677338897
2020-07-10,PJM,traditional,2669578,2810534,94.9847253226611
2020-07-13,ISNE,green,20283,342099,5.928985469118588
2020-07-13,ISNE,traditional,321816,342099,94.07101453088141
2020-07-13,PJM,green,64564,2625194,2.4593991910693074
2020-07-13,PJM,traditional,2560630,2625194,97.54060080893069
2020-07-14,ISNE,green,19509,313810,6.216819094356458
2020-07-14,ISNE,traditional,294301,313810,93.78318090564353
2020-07-14,PJM,green,78861,2646002,2.9803832347821353
2020-07-14,PJM,traditional,2567141,2646002,97.01961676521786
2020-07-15,ISNE,green,21259,298552,7.120702591173397
2020-07-15,ISNE,traditional,277293,298552,92.8792974088266
2020-07-15,PJM,green,107856,2704505,3.9880125938018236
2020-07-15,PJM,traditional,2596649,2704505,96.01198740619817
2020-07-16,ISNE,green,19134,278888,6.860818679900175
2020-07-16,ISNE,traditional,259754,278888,93.13918132009982
2020-07-16,PJM,green,107489,2675811,4.017062490586966
2020-07-16,PJM,traditional,2568322,2675811,95.98293750941303
2020-07-17,ISNE,green,21008,276041,7.610463663006582
2020-07-17,ISNE,traditional,255033,276041,92.38953633699342
2020-07-17,PJM,green,69296,2786375,2.4869588623211163
2020-07-17,PJM,traditional,2717079,2786375,97.51304113767888
2020-07-20,ISNE,green,30334,394902,7.681399435809391
2020-07-20,ISNE,traditional,364568,394902,92.31860056419062
